Name|Version|URL|Authors|ModID
Minecraft|1.12.2|unspecified|none|minecraft
Minecraft Coder Pack|9.42|http://www.modcoderpack.com/website/|none|mcp
Forge Mod Loader|8.0.99.99|https://github.com/MinecraftForge/FML/wiki|cpw, LexManos, Player|FML
Minecraft Forge|14.23.5.2859|http://minecraftforge.net|LexManos, cpw, fry|forge
Micdoodle8 Core|4.0.6|https://www.micdoodle8.com/|micdoodle8, radfast|micdoodlecore
IvToolkit|1.3.3-1.12|http://www.minecraftforum.net/topic/563257-172|Ivorius|ivtoolkit
MixinBooter|10.2|unspecified|Rongmario|mixinbooter
SecurityCraft|v1.9.12|https://discord.gg/U8DvBAW|Geforce, bl4ckscor3, Redstone_Dubstep|securitycraft
SuperMartijn642's Core Lib|1.1.17+a|https://www.curseforge.com/minecraft/mc-mods/supermartijn642s-core-lib|SuperMartijn642|supermartijn642corelib
FastWorkbench|1.12.2-1.7.4|unspecified|Shadows_of_Fire|fastbench
Actually Additions|1.12.2-r152|http://github.com/Ellpeck/ActuallyAdditions|Ellpeck|actuallyadditions
Baubles|1.12-1.5.2|http://www.minecraftforum.net/topic/2535073-baubles|Azanor|baubles
Actually Baubles|1.1|https://github.com/Jacky1356400/ActuallyBaubles|Jacky1356400|actuallybaubles
The Aether|v1.5.3.2|https://www.curseforge.com/minecraft/mc-mods/the-aether|bconlon, Oscar Payn, Hugo Payn, JellySquid|aether_legacy
Shadowfacts' Forgelin|1.8.4|https://github.com/shadowfacts/Forgelin|shadowfacts|forgelin
A Lib|1.0.12|unspecified|none|alib
Alchemistry|1.12.2-42|unspecified|al132|alchemistry
CTM|MC1.12.2-1.0.2.31|https://minecraft.curseforge.com/projects/ctm|tterrag, Drullkus, minecreatr|ctm
Just Enough Items|4.16.1.301|https://github.com/mezz/JustEnoughItems|mezz|jei
Mystical World|1.12.2-1.11.0|unspecified|Noobanidus, EpicSquid, Martacus, Davoleo, Kalaxi, Vulpie|mysticalworld
Chisel|MC1.12.2-1.0.2.45|https://minecraft.curseforge.com/projects/chisel|tterrag, Drullkus, minecreatr|chisel
EnderCore|1.12.2-0.5.78|http://enderio.com|tterrag, CrazyPants, HenryLoenwind|endercore
Thaumcraft|6.1.BETA26|http://www.minecraftforum.net/topic/2011841-thaumcraft|Azanor|thaumcraft
CodeChicken Lib|3.2.3.358|http://chickenbones.net/Pages/links.html|ChickenBones, covers1624|codechickenlib
Redstone Flux|2.1.1.1|http://www.teamcofh.com|Team CoFH|redstoneflux
CoFH Core|4.6.6.1|http://www.teamcofh.com|Team CoFH|cofhcore
Brandon's Core|1.12.2-2.4.20.22|http://minecraft.curseforge.com/projects/brandons-core|brandon3055|brandonscore
CoFH World|1.4.0.1|http://www.teamcofh.com|Team CoFH|cofhworld
Thermal Foundation|2.6.7.1|http://www.teamcofh.com|Team CoFH|thermalfoundation
Draconic Evolution|1.12.2-2.3.28.193|http://www.brandon3055.com/|brandon3055|draconicevolution
Thermal Expansion|5.5.7.1|http://www.teamcofh.com|Team CoFH|thermalexpansion
Ender IO|5.3.72|http://enderio.com|CrazyPants, tterrag, HenryLoenwind, MatthiasM, CyanideX, EpicSquid|enderio
Ender IO Integration with Tinkers' Construct|5.3.72|http://enderio.com|CrazyPants, tterrag, HenryLoenwind, EpicSquid|enderiointegrationtic
Mantle|1.3.3.55|https://github.com/SlimeKnights/Mantle|boni, progWML6, Alexbegt|mantle
The Twilight Forest|3.11.1021|https://minecraft.curseforge.com/projects/the-twilight-forest|Benimatic, AtomicBlom, Drullkus, Killer_Demon, quadraxis, Tamaized, williewillus|twilightforest
Tinkers' Construct|1.12.2-2.13.0.183|https://github.com/SlimeKnights/TinkersConstruct|boni, KnightMiner|tconstruct
Extra Utilities 2|${version}|unspecified|RWTema|extrautils2
AngelRing 2 Bauble|0.3.1|unspecified|Portablejim. Art by JamiesWhiteShirt|flyringbaublemod
Placebo|1.12.2-1.6.1|unspecified|Shadows_of_Fire|placebo
Apotheosis|1.12.2-1.12.5|unspecified|Shadows_of_Fire|apotheosis
AppleCore|3.4.0|http://www.minecraftforum.net/forums/mapping-and-modding/minecraft-mods/2222837-applecore-an-api-for-modifying-the-food-and-hunger|squeek|applecore
Applied Energistics 2|rv6-stable-7|http://ae2.ae-mod.info|AlgorithmX2|appliedenergistics2
ArchitectureCraft|@VERSION@|https://github.com/elytra/ArchitectureCraft|gcewing (Original Developer), darkevilmac (Maintainer), spocel(Maintainer)|architecturecraft
Artifacts|${version}|https://github.com/ochotonida/artifacts|ochotonida|artifacts
Bad Wither No Cookie! Reloaded|${version}|unspecified|droidicus, kreezxil|badwithernocookiereloaded
BD Lib|1.14.4.1|bdew.net/mods/|bdew|bdlib
Better Advancements|0.1.0|https://github.com/way2muchnoise/BetterAdvancements|way2muchnoise|betteradvancements
Better Builder's Wands|0.11.1|unspecified|Portablejim|betterbuilderswands
Biomes O' Plenty|7.0.1|http://mods.curse.com/mc-mods/minecraft/220318-biomes-o-plenty|Adubbz, Amnet, Cheeserolls, Forstride, ted80|biomesoplenty
Biomes You Go |1.7.1|https://biomesyougo.weebly.com/|AOCAWOL, MCreator|byg
Bonsai Trees|1.1.4-b170|https://github.com/thraaawn/BonsaiTrees|Davenonymous|bonsaitrees
Botania|r1.10-364.4|http://www.botaniamod.net|Vazkii, williewillus, wiiv, dylan4ever|botania
Chameleon|1.12-4.1.3|http://www.jaquadro.com/|jaquadro|chameleon
Collective|3.0|https://curseforge.com/minecraft/mc-mods/collective|Rick South|collective
ComputerCraft|1.80pr1|http://www.computercraft.info|none|computercraft
Construct's Armory|1.12.2-1.2.5.10|unspecified|C4|conarm
Controlling|3.0.12.4|unspecified|Jaredlll08|controlling
Cooking for Blockheads|6.5.0|unspecified|BlayTheNinth|cookingforblockheads
CosmeticArmorReworked|1.12.2-v5a|https://github.com/zlainsama/cosmeticarmorreworked|zlainsama|cosmeticarmorreworked
Crafting Tweaks|8.1.9|http://balyware.com|BlayTheNinth|craftingtweaks
Good Ol' Currency Mod|1.12.0-1.3.11|https://github.com/BeardlessBrady/Currency-Mod|BeardlessBrady|modcurrency
ptrmodellib|1.0.5|unspecified|none|ptrmodellib
Decocraft|2.6.3.7_1.12.2|http://minecraft.curseforge.com/mc-mods/79616-decocraft2|RazzleberryFox|props
Elevator Mod|1.12.2-1.3.14|https://minecraft.curseforge.com/projects/openblocks-elevator|VsnGamer|elevatorid
Ender IO Base|5.3.72|http://enderio.com|CrazyPants, tterrag, HenryLoenwind, MatthiasM, CyanideX, EpicSquid|enderiobase
Ender IO Conduits|5.3.72|http://enderio.com|CrazyPants, tterrag, HenryLoenwind, MatthiasM, CyanideX, EpicSquid, HypherionSA|enderioconduits
Ender IO Applied Energistics Conduits|5.3.72|http://enderio.com|CrazyPants, tterrag, HenryLoenwind, MatthiasM, EpicSquid|enderioconduitsappliedenergistics
Ender IO Open Computers Conduits|5.3.72|http://enderio.com|CrazyPants, tterrag, HenryLoenwind, MatthiasM, EpicSquid|enderioconduitsopencomputers
Ender IO Refined Storage Conduits|5.3.72|http://enderio.com|CrazyPants, tterrag, HenryLoenwind, MatthiasM, EpicSquid|enderioconduitsrefinedstorage
Ender IO Integration with Forestry|5.3.72|http://enderio.com|CrazyPants, tterrag, HenryLoenwind, MatthiasM, EpicSquid, bdew, mezz|enderiointegrationforestry
Ender IO Integration with Tinkers' Construct|5.3.72|http://enderio.com|CrazyPants, tterrag, HenryLoenwind, EpicSquid|enderiointegrationticlate
Ender IO Inventory Panel|5.3.72|http://enderio.com|CrazyPants, tterrag, HenryLoenwind, MatthiasM, CyanideX, EpicSquid|enderioinvpanel
FTB Library|5.4.7.2|http://minecraft.curseforge.com/projects/ftblib|LatvianModder|ftblib
Ender IO Machines|5.3.72|http://enderio.com|CrazyPants, tterrag, HenryLoenwind, MatthiasM, CyanideX, EpicSquid|enderiomachines
Ender IO Powertools|5.3.72|http://enderio.com|CrazyPants, tterrag, HenryLoenwind, MatthiasM, CyanideX, EpicSquid|enderiopowertools
EnderStorage|2.4.6.137|http://www.minecraftforum.net/topic/909223|ChickenBones, covers1624|enderstorage
EntityCulling|1.6.3|unspecified|tr7zw|entityculling
GunpowderLib|1.12.2-1.1|https://github.com/JackyyTV/GunpowderLib|Jackyy|gunpowderlib
Mekanism|1.12.2-9.8.3.390|unspecified|aidancbrady, thommy101, thiakil, pupnewfster, dizzyd|mekanism
Immersive Engineering|0.12-98|https://github.com/BluSunrize/ImmersiveEngineering|BluSunrize, Damien A.W. Hazard|immersiveengineering
Exchangers|1.12.2-2.10.3|https://github.com/JackyyTV/Exchangers|Jackyy, TurkeyDev|exchangers
ExtendedAE|1.12-0.0.1|https://github.com/GlodBlock/ExtendedAE|GlodBlock|extendedae
FastFurnace|1.12.2-1.3.1|unspecified|Shadows_of_Fire|fastfurnace
